,algorithm,dataset,model_name,best_eta,best_loss,sample_kind
0,FedAvg_SGD,cifar10,logistic,10.0,0.9361019685077492,0
1,FedAvg_SGD,cifar10,svm,0.1,2.56391169924818,0
2,zeroth,cifar10,logistic,10.0,1.4260887623944358,0
3,zeroth,cifar10,svm,0.1,1.6190128659646066,0
4,FedAvg_GD,cifar10,logistic,10.0,0.7693187578889964,0
5,FedAvg_GD,cifar10,svm,0.1,2.2273701604123706,0
6,FedZO,cifar10,logistic,100.0,2.795502587208845,0
7,FedZO,cifar10,svm,1.0,2.429773320580229,0
8,FedAvg_SGD,rcv,logistic,10.0,0.2472661220822585,0
9,FedAvg_SGD,rcv,svm,1.0,0.4496039683978342,0
10,zeroth,rcv,logistic,10.0,0.2197860207399364,0
11,zeroth,rcv,svm,1.0,0.3307177165526038,0
12,FedAvg_GD,rcv,logistic,10.0,0.3436457523591585,0
13,FedAvg_GD,rcv,svm,1.0,0.8489012781879735,0
14,FedZO,rcv,logistic,100.0,0.3245980018828116,0
15,FedZO,rcv,svm,1.0,0.7594852081936687,0
16,FedAvg_SGD,mnist,logistic,10.0,0.4059876372441598,0
17,FedAvg_SGD,mnist,svm,1.0,0.4451016921446604,0
18,zeroth,mnist,logistic,1.0,0.3817960115368263,0
19,zeroth,mnist,svm,0.1,0.2520749066476801,0
20,FedAvg_GD,mnist,logistic,10.0,0.3872314199101487,0
21,FedAvg_GD,mnist,svm,1.0,0.3657326933257838,0
22,FedZO,mnist,logistic,10.0,0.3767848052997941,0
23,FedZO,mnist,svm,1.0,0.2772401073913457,0
24,FedAvg_SGD,fashion_mnist,logistic,10.0,0.2552068931477211,0
25,FedAvg_SGD,fashion_mnist,svm,0.1,0.4192106312767936,0
26,zeroth,fashion_mnist,logistic,1.0,0.2205136905512899,0
27,zeroth,fashion_mnist,svm,0.1,0.1583417914374119,0
28,FedAvg_GD,fashion_mnist,logistic,10.0,0.2415728699069788,0
29,FedAvg_GD,fashion_mnist,svm,0.1,0.3194893081879155,0
30,FedZO,fashion_mnist,logistic,10.0,0.2217821360513844,0
31,FedZO,fashion_mnist,svm,1.0,0.2198727403018208,0
32,FedAvg_SGD,cifar10,logistic,10.0,0.9677900076762938,1
33,FedAvg_SGD,cifar10,svm,0.1,2.282404345106215,1
34,zeroth,cifar10,logistic,10.0,1.5420915343914638,1
35,zeroth,cifar10,svm,0.1,1.8268863879435104,1
36,FedAvg_GD,cifar10,logistic,10.0,0.8093187942077618,1
37,FedAvg_GD,cifar10,svm,0.1,2.129765314751024,1
38,FedZO,cifar10,logistic,10.0,1.071288651226048,1
39,FedZO,cifar10,svm,0.1,2.308023247241696,1
40,FedAvg_SGD,rcv,logistic,10.0,0.2728055817314067,1
41,FedAvg_SGD,rcv,svm,1.0,0.4790504377408846,1
42,zeroth,rcv,logistic,10.0,0.3091970097845482,1
43,zeroth,rcv,svm,1.0,0.5266162389430322,1
44,FedAvg_GD,rcv,logistic,10.0,0.4217162251859979,1
45,FedAvg_GD,rcv,svm,1.0,0.8839052692800242,1
46,FedZO,rcv,logistic,10.0,0.6764764381993784,1
47,FedZO,rcv,svm,1.0,1.1612030332797454,1
48,FedAvg_SGD,mnist,logistic,10.0,0.3778268381152867,1
49,FedAvg_SGD,mnist,svm,0.1,0.2961867513571665,1
50,zeroth,mnist,logistic,10.0,0.3915768644675381,1
51,zeroth,mnist,svm,0.1,0.2741437147822913,1
52,FedAvg_GD,mnist,logistic,10.0,0.3916288373823836,1
53,FedAvg_GD,mnist,svm,1.0,0.3948685265823518,1
54,FedZO,mnist,logistic,10.0,0.4062885259589155,1
55,FedZO,mnist,svm,1.0,0.3098789629966598,1
56,FedAvg_SGD,fashion_mnist,logistic,10.0,0.2263187756911794,1
57,FedAvg_SGD,fashion_mnist,svm,0.1,0.2212449131840725,1
58,zeroth,fashion_mnist,logistic,1.0,0.2365159348522131,1
59,zeroth,fashion_mnist,svm,0.1,0.1808673638848718,1
60,FedAvg_GD,fashion_mnist,logistic,10.0,0.2441649460499571,1
61,FedAvg_GD,fashion_mnist,svm,1.0,0.3148793074089012,1
62,FedZO,fashion_mnist,logistic,10.0,0.2477469477019298,1
63,FedZO,fashion_mnist,svm,1.0,0.2618111816529472,1
